0,1,2,3,4,5,6
,Engine,30,0,Jacques Villeneuve,BAR,2001 San Marino Grand Prix
,Engine,28,0,Gastón Mazzacane,Prost,2001 San Marino Grand Prix
,Suspension,24,0,Michael Schumacher,Ferrari,2001 San Marino Grand Prix
,Steering,17,0,Kimi Räikkönen,Sauber,2001 San Marino Grand Prix
,Exhaust,6,0,Jos Verstappen,Arrows,2001 San Marino Grand Prix
,Brakes,5,0,Fernando Alonso,Minardi,2001 San Marino Grand Prix
1,1:31:03.305,65,10,Michael Schumacher,Ferrari,2001 Spanish Grand Prix
2,+40.738,65,6,Juan Pablo Montoya,Williams,2001 Spanish Grand Prix
3,+49.626,65,4,Jacques Villeneuve,BAR,2001 Spanish Grand Prix
4,+51.253,65,3,Jarno Trulli,Jordan,2001 Spanish Grand Prix
5,+51.616,65,2,David Coulthard,McLaren,2001 Spanish Grand Prix
6,+1:01.893,65,1,Nick Heidfeld,Sauber,2001 Spanish Grand Prix
7,+1:04.977,65,0,Olivier Panis,BAR,2001 Spanish Grand Prix
8,+1:19.808,65,0,Kimi Räikkönen,Sauber,2001 Spanish Grand Prix
9,Clutch,64,0,Mika Häkkinen,McLaren,2001 Spanish Grand Prix
10,+1 Lap,64,0,Jean Alesi,Prost,2001 Spanish Grand Prix
11,+1 Lap,64,0,Luciano Burti,Prost,2001 Spanish Grand Prix
12,+2 Laps,63,0,Jos Verstappen,Arrows,2001 Spanish Grand Prix
13,+2 Laps,63,0,Fernando Alonso,Minardi,2001 Spanish Grand Prix
14,+2 Laps,63,0,Giancarlo Fisichella,Benetton,2001 Spanish Grand Prix
15,+3 Laps,62,0,Jenson Button,Benetton,2001 Spanish Grand Prix
16,+3 Laps,62,0,Tarso Marques,Minardi,2001 Spanish Grand Prix
,Suspension,49,0,Rubens Barrichello,Ferrari,2001 Spanish Grand Prix
,Engine,48,0,Eddie Irvine,Jaguar,2001 Spanish Grand Prix
,Brakes,20,0,Ralf Schumacher,Williams,2001 Spanish Grand Prix
,Fuel pressure,8,0,Enrique Bernoldi,Arrows,2001 Spanish Grand Prix
,Collision,5,0,Pedro de la Rosa,Jaguar,2001 Spanish Grand Prix
,Collision,5,0,Heinz-Harald Frentzen,Jordan,2001 Spanish Grand Prix
1,1:27:45.927,71,10,David Coulthard,McLaren,2001 Austrian Grand Prix
2,+2.190,71,6,Michael Schumacher,Ferrari,2001 Austrian Grand Prix
3,+2.527,71,4,Rubens Barrichello,Ferrari,2001 Austrian Grand Prix
4,+41.593,71,3,Kimi Räikkönen,Sauber,2001 Austrian Grand Prix
5,+53.775,71,2,Olivier Panis,BAR,2001 Austrian Grand Prix
6,+1 Lap,70,1,Jos Verstappen,Arrows,2001 Austrian Grand Prix
7,+1 Lap,70,0,Eddie Irvine,Jaguar,2001 Austrian Grand Prix
8,+1 Lap,70,0,Jacques Villeneuve,BAR,2001 Austrian Grand Prix
9,+2 Laps,69,0,Nick Heidfeld,Sauber,2001 Austrian Grand Prix
10,+2 Laps,69,0,Jean Alesi,Prost,2001 Austrian Grand Prix
11,+2 Laps,69,0,Luciano Burti,Prost,2001 Austrian Grand Prix
,Engine,60,0,Jenson Button,Benetton,2001 Austrian Grand Prix
,Transmission,48,0,Pedro de la Rosa,Jaguar,2001 Austrian Grand Prix
,Hydraulics,41,0,Juan Pablo Montoya,Williams,2001 Austrian Grand Prix
,Gearbox,38,0,Fernando Alonso,Minardi,2001 Austrian Grand Prix
,Gearbox,25,0,Tarso Marques,Minardi,2001 Austrian Grand Prix
,Hydraulics,17,0,Enrique Bernoldi,Arrows,2001 Austrian Grand Prix
,Disqualified,14,0,Jarno Trulli,Jordan,2001 Austrian Grand Prix
,Brakes,10,0,Ralf Schumacher,Williams,2001 Austrian Grand Prix
,Engine,3,0,Giancarlo Fisichella,Benetton,2001 Austrian Grand Prix
,Transmission,1,0,Mika Häkkinen,McLaren,2001 Austrian Grand Prix
,Gearbox,0,0,Heinz-Harald Frentzen,Jordan,2001 Austrian Grand Prix
1,1:47:22.561,78,10,Michael Schumacher,Ferrari,2001 Monaco Grand Prix
2,+0.431,78,6,Rubens Barrichello,Ferrari,2001 Monaco Grand Prix
3,+30.698,78,4,Eddie Irvine,Jaguar,2001 Monaco Grand Prix
4,+32.454,78,3,Jacques Villeneuve,BAR,2001 Monaco Grand Prix
5,+1 Lap,77,2,David Coulthard,McLaren,2001 Monaco Grand Prix
6,+1 Lap,77,1,Jean Alesi,Prost,2001 Monaco Grand Prix
7,+1 Lap,77,0,Jenson Button,Benetton,2001 Monaco Grand Prix
8,+1 Lap,77,0,Jos Verstappen,Arrows,2001 Monaco Grand Prix
9,+2 Laps,76,0,Enrique Bernoldi,Arrows,2001 Monaco Grand Prix
10,+5 Laps,73,0,Kimi Räikkönen,Sauber,2001 Monaco Grand Prix
,Electrical,57,0,Ralf Schumacher,Williams,2001 Monaco Grand Prix
,Transmission,56,0,Tarso Marques,Minardi,2001 Monaco Grand Prix
,Gearbox,54,0,Fernando Alonso,Minardi,2001 Monaco Grand Prix
,Accident,49,0,Heinz-Harald Frentzen,Jordan,2001 Monaco Grand Prix
,Gearbox,43,0,Giancarlo Fisichella,Benetton,2001 Monaco Grand Prix
,Hydraulics,30,0,Jarno Trulli,Jordan,2001 Monaco Grand Prix
,Gearbox,24,0,Luciano Burti,Prost,2001 Monaco Grand Prix
,Hydraulics,18,0,Pedro de la Rosa,Jaguar,2001 Monaco Grand Prix
,Steering,15,0,Mika Häkkinen,McLaren,2001 Monaco Grand Prix
,Steering,13,0,Olivier Panis,BAR,2001 Monaco Grand Prix
,Spun off,2,0,Juan Pablo Montoya,Williams,2001 Monaco Grand Prix
,Collision,0,0,Nick Heidfeld,Sauber,2001 Monaco Grand Prix
1,1:34:31.522,69,10,Ralf Schumacher,Williams,2001 Canadian Grand Prix
2,+20.235,69,6,Michael Schumacher,Ferrari,2001 Canadian Grand Prix
3,+40.672,69,4,Mika Häkkinen,McLaren,2001 Canadian Grand Prix
4,+1:08.116,69,3,Kimi Räikkönen,Sauber,2001 Canadian Grand Prix
5,+1:10.435,69,2,Jean Alesi,Prost,2001 Canadian Grand Prix
6,+1 Lap,68,1,Pedro de la Rosa,Jaguar,2001 Canadian Grand Prix
7,+1 Lap,68,0,Ricardo Zonta,Jordan,2001 Canadian Grand Prix
8,+1 Lap,68,0,Luciano Burti,Prost,2001 Canadian Grand Prix
9,+3 Laps,66,0,Tarso Marques,Minardi,2001 Canadian Grand Prix
10,Brakes,65,0,Jos Verstappen,Arrows,2001 Canadian Grand Prix
11,Brakes,63,0,Jarno Trulli,Jordan,2001 Canadian Grand Prix
,Engine,54,0,David Coulthard,McLaren,2001 Canadian Grand Prix
,Brakes,38,0,Olivier Panis,BAR,2001 Canadian Grand Prix
,Halfshaft,34,0,Jacques Villeneuve,BAR,2001 Canadian Grand Prix
,Engine,24,0,Enrique Bernoldi,Arrows,2001 Canadian Grand Prix
,Accident,19,0,Juan Pablo Montoya,Williams,2001 Canadian Grand Prix
,Spun off,19,0,Rubens Barrichello,Ferrari,2001 Canadian Grand Prix
,Oil leak,17,0,Jenson Button,Benetton,2001 Canadian Grand Prix
,Transmission,7,0,Fernando Alonso,Minardi,2001 Canadian Grand Prix
,Collision,1,0,Eddie Irvine,Jaguar,2001 Canadian Grand Prix
,Collision,1,0,Nick Heidfeld,Sauber,2001 Canadian Grand Prix
,Collision,0,0,Giancarlo Fisichella,Benetton,2001 Canadian Grand Prix
1,1:29:42.724,67,10,Michael Schumacher,Ferrari,2001 European Grand Prix
2,+4.127,67,6,Juan Pablo Montoya,Williams,2001 European Grand Prix
3,+24.993,67,4,David Coulthard,McLaren,2001 European Grand Prix
4,+33.345,67,3,Ralf Schumacher,Williams,2001 European Grand Prix
5,+45.495,67,2,Rubens Barrichello,Ferrari,2001 European Grand Prix
6,+1:04.868,67,1,Mika Häkkinen,McLaren,2001 European Grand Prix
7,+1:06.198,67,0,Eddie Irvine,Jaguar,2001 European Grand Prix
8,+1 Lap,66,0,Pedro de la Rosa,Jaguar,2001 European Grand Prix
9,+1 Lap,66,0,Jacques Villeneuve,BAR,2001 European Grand Prix
10,+1 Lap,66,0,Kimi Räikkönen,Sauber,2001 European Grand Prix
11,+1 Lap,66,0,Giancarlo Fisichella,Benetton,2001 European Grand Prix
12,+2 Laps,65,0,Luciano Burti,Prost,2001 European Grand Prix
13,+2 Laps,65,0,Jenson Button,Benetton,2001 European Grand Prix
14,+2 Laps,65,0,Fernando Alonso,Minardi,2001 European Grand Prix
15,Spun off,64,0,Jean Alesi,Prost,2001 European Grand Prix
,Engine,58,0,Jos Verstappen,Arrows,2001 European Grand Prix
,Driveshaft,54,0,Nick Heidfeld,Sauber,2001 European Grand Prix
,Spun off,48,0,Heinz-Harald Frentzen,Jordan,2001 European Grand Prix
,Transmission,44,0,Jarno Trulli,Jordan,2001 European Grand Prix
,Gearbox,29,0,Enrique Bernoldi,Arrows,2001 European Grand Prix
,Electrical,23,0,Olivier Panis,BAR,2001 European Grand Prix
,Electrical,7,0,Tarso Marques,Minardi,2001 European Grand Prix
1,1:33:35.636,72,10,Michael Schumacher,Ferrari,2001 French Grand Prix
2,+10.399,72,6,Ralf Schumacher,Williams,2001 French Grand Prix
3,+16.381,72,4,Rubens Barrichello,Ferrari,2001 French Grand Prix
4,+17.106,72,3,David Coulthard,McLaren,2001 French Grand Prix
5,+1:08.285,72,2,Jarno Trulli,Jordan,2001 French Grand Prix
6,+1 Lap,71,1,Nick Heidfeld,Sauber,2001 French Grand Prix
7,+1 Lap,71,0,Kimi Räikkönen,Sauber,2001 French Grand Prix
8,+1 Lap,71,0,Heinz-Harald Frentzen,Jordan,2001 French Grand Prix
9,+1 Lap,71,0,Olivier Panis,BAR,2001 French Grand Prix
10,+1 Lap,71,0,Luciano Burti,Prost,2001 French Grand Prix
11,+1 Lap,71,0,Giancarlo Fisichella,Benetton,2001 French Grand Prix
12,+2 Laps,70,0,Jean Alesi,Prost,2001 French Grand Prix
13,+2 Laps,70,0,Jos Verstappen,Arrows,2001 French Grand Prix
14,+2 Laps,70,0,Pedro de la Rosa,Jaguar,2001 French Grand Prix
15,+3 Laps,69,0,Tarso Marques,Minardi,2001 French Grand Prix
16,Fuel pressure,68,0,Jenson Button,Benetton,2001 French Grand Prix
17,Engine,65,0,Fernando Alonso,Minardi,2001 French Grand Prix
,Engine,54,0,Eddie Irvine,Jaguar,2001 French Grand Prix
,Engine,52,0,Juan Pablo Montoya,Williams,2001 French Grand Prix
,Engine,17,0,Enrique Bernoldi,Arrows,2001 French Grand Prix
,Engine,5,0,Jacques Villeneuve,BAR,2001 French Grand Prix
,Gearbox,0,0,Mika Häkkinen,McLaren,2001 French Grand Prix
1,1:25:33.770,60,10,Mika Häkkinen,McLaren,2001 British Grand Prix
2,+33.646,60,6,Michael Schumacher,Ferrari,2001 British Grand Prix
3,+59.281,60,4,Rubens Barrichello,Ferrari,2001 British Grand Prix
4,+1:08.772,60,3,Juan Pablo Montoya,Williams,2001 British Grand Prix
5,+1 Lap,59,2,Kimi Räikkönen,Sauber,2001 British Grand Prix
6,+1 Lap,59,1,Nick Heidfeld,Sauber,2001 British Grand Prix
7,+1 Lap,59,0,Heinz-Harald Frentzen,Jordan,2001 British Grand Prix
8,+1 Lap,59,0,Jacques Villeneuve,BAR,2001 British Grand Prix
9,+1 Lap,59,0,Eddie Irvine,Jaguar,2001 British Grand Prix
10,+2 Laps,58,0,Jos Verstappen,Arrows,2001 British Grand Prix
11,+2 Laps,58,0,Jean Alesi,Prost,2001 British Grand Prix
12,+2 Laps,58,0,Pedro de la Rosa,Jaguar,2001 British Grand Prix
13,+2 Laps,58,0,Giancarlo Fisichella,Benetton,2001 British Grand Prix
14,+2 Laps,58,0,Enrique Bernoldi,Arrows,2001 British Grand Prix
15,+2 Laps,58,0,Jenson Button,Benetton,2001 British Grand Prix
16,+3 Laps,57,0,Fernando Alonso,Minardi,2001 British Grand Prix
,Engine,36,0,Ralf Schumacher,Williams,2001 British Grand Prix
,Engine,6,0,Luciano Burti,Prost,2001 British Grand Prix
,Suspension,2,0,David Coulthard,McLaren,2001 British Grand Prix
,Collision,0,0,Olivier Panis,BAR,2001 British Grand Prix
,Collision,0,0,Jarno Trulli,Jordan,2001 British Grand Prix
,107% Rule,0,0,Tarso Marques,Minardi,2001 British Grand Prix
1,1:18:17.873,45,10,Ralf Schumacher,Williams,2001 German Grand Prix
2,+46.117,45,6,Rubens Barrichello,Ferrari,2001 German Grand Prix
3,+1:02.806,45,4,Jacques Villeneuve,BAR,2001 German Grand Prix
4,+1:03.477,45,3,Giancarlo Fisichella,Benetton,2001 German Grand Prix
5,+1:05.454,45,2,Jenson Button,Benetton,2001 German Grand Prix
6,+1:05.950,45,1,Jean Alesi,Prost,2001 German Grand Prix
7,+1:17.527,45,0,Olivier Panis,BAR,2001 German Grand Prix
8,+1 Lap,44,0,Enrique Bernoldi,Arrows,2001 German Grand Prix
9,+1 Lap,44,0,Jos Verstappen,Arrows,2001 German Grand Prix
10,+1 Lap,44,0,Fernando Alonso,Minardi,2001 German Grand Prix
,Hydraulics,34,0,Jarno Trulli,Jordan,2001 German Grand Prix
,Engine,27,0,David Coulthard,McLaren,2001 German Grand Prix
,Gearbox,26,0,Tarso Marques,Minardi,2001 German Grand Prix
,Engine,24,0,Juan Pablo Montoya,Williams,2001 German Grand Prix
,Fuel pressure,23,0,Michael Schumacher,Ferrari,2001 German Grand Prix
,Spun off,23,0,Luciano Burti,Prost,2001 German Grand Prix
,Halfshaft,16,0,Kimi Räikkönen,Sauber,2001 German Grand Prix
,Fuel pressure,16,0,Eddie Irvine,Jaguar,2001 German Grand Prix
,Engine,13,0,Mika Häkkinen,McLaren,2001 German Grand Prix
,Collision,7,0,Ricardo Zonta,Jordan,2001 German Grand Prix
,Collision,0,0,Pedro de la Rosa,Jaguar,2001 German Grand Prix
,Collision,0,0,Nick Heidfeld,Sauber,2001 German Grand Prix
1,1:41:49.675,77,10,Michael Schumacher,Ferrari,2001 Hungarian Grand Prix
2,+3.363,77,6,Rubens Barrichello,Ferrari,2001 Hungarian Grand Prix
3,+3.940,77,4,David Coulthard,McLaren,2001 Hungarian Grand Prix
4,+49.687,77,3,Ralf Schumacher,Williams,2001 Hungarian Grand Prix
5,+1:10.293,77,2,Mika Häkkinen,McLaren,2001 Hungarian Grand Prix
6,+1 Lap,76,1,Nick Heidfeld,Sauber,2001 Hungarian Grand Prix
7,+1 Lap,76,0,Kimi Räikkönen,Sauber,2001 Hungarian Grand Prix
8,+1 Lap,76,0,Juan Pablo Montoya,Williams,2001 Hungarian Grand Prix
9,+2 Laps,75,0,Jacques Villeneuve,BAR,2001 Hungarian Grand Prix
10,+2 Laps,75,0,Jean Alesi,Jordan,2001 Hungarian Grand Prix
11,+2 Laps,75,0,Pedro de la Rosa,Jaguar,2001 Hungarian Grand Prix
12,+3 Laps,74,0,Jos Verstappen,Arrows,2001 Hungarian Grand Prix
,Engine,67,0,Giancarlo Fisichella,Benetton,2001 Hungarian Grand Prix
,Spun off,63,0,Heinz-Harald Frentzen,Prost,2001 Hungarian Grand Prix
,Oil pressure,63,0,Tarso Marques,Minardi,2001 Hungarian Grand Prix
,Electrical,58,0,Olivier Panis,BAR,2001 Hungarian Grand Prix
,Hydraulics,53,0,Jarno Trulli,Jordan,2001 Hungarian Grand Prix
,Brakes,37,0,Fernando Alonso,Minardi,2001 Hungarian Grand Prix
,Spun off,34,0,Jenson Button,Benetton,2001 Hungarian Grand Prix
,Spun off,11,0,Enrique Bernoldi,Arrows,2001 Hungarian Grand Prix
,Spun off,8,0,Luciano Burti,Prost,2001 Hungarian Grand Prix
,Spun off,0,0,Eddie Irvine,Jaguar,2001 Hungarian Grand Prix
1,1:08:05.002,36,10,Michael Schumacher,Ferrari,2001 Belgian Grand Prix
2,+10.098,36,6,David Coulthard,McLaren,2001 Belgian Grand Prix
3,+27.742,36,4,Giancarlo Fisichella,Benetton,2001 Belgian Grand Prix
4,+36.087,36,3,Mika Häkkinen,McLaren,2001 Belgian Grand Prix
5,+54.521,36,2,Rubens Barrichello,Ferrari,2001 Belgian Grand Prix
6,+59.684,36,1,Jean Alesi,Jordan,2001 Belgian Grand Prix
7,+59.986,36,0,Ralf Schumacher,Williams,2001 Belgian Grand Prix
8,+1:04.970,36,0,Jacques Villeneuve,BAR,2001 Belgian Grand Prix
9,+1 Lap,35,0,Heinz-Harald Frentzen,Prost,2001 Belgian Grand Prix
10,+1 Lap,35,0,Jos Verstappen,Arrows,2001 Belgian Grand Prix
11,+1 Lap,35,0,Olivier Panis,BAR,2001 Belgian Grand Prix
12,+1 Lap,35,0,Enrique Bernoldi,Arrows,2001 Belgian Grand Prix
,Engine,31,0,Jarno Trulli,Jordan,2001 Belgian Grand Prix
13,+5 Laps,31,0,Tarso Marques,Minardi,2001 Belgian Grand Prix
,Spun off,17,0,Jenson Button,Benetton,2001 Belgian Grand Prix
,Collision,1,0,Pedro de la Rosa,Jaguar,2001 Belgian Grand Prix
,Engine,1,0,Juan Pablo Montoya,Williams,2001 Belgian Grand Prix
,Gearbox,0,0,Fernando Alonso,Minardi,2001 Belgian Grand Prix
,Collision,0,0,Eddie Irvine,Jaguar,2001 Belgian Grand Prix
,Transmission,0,0,Kimi Räikkönen,Sauber,2001 Belgian Grand Prix
,Collision,0,0,Luciano Burti,Prost,2001 Belgian Grand Prix
,Collision,0,0,Nick Heidfeld,Sauber,2001 Belgian Grand Prix
1,1:16:58.493,53,10,Juan Pablo Montoya,Williams,2001 Italian Grand Prix
2,+5.175,53,6,Rubens Barrichello,Ferrari,2001 Italian Grand Prix
3,+17.335,53,4,Ralf Schumacher,Williams,2001 Italian Grand Prix
4,+24.991,53,3,Michael Schumacher,Ferrari,2001 Italian Grand Prix
5,+1:14.984,53,2,Pedro de la Rosa,Jaguar,2001 Italian Grand Prix
6,+1:22.469,53,1,Jacques Villeneuve,BAR,2001 Italian Grand Prix
7,+1:23.107,53,0,Kimi Räikkönen,Sauber,2001 Italian Grand Prix
8,+1 Lap,52,0,Jean Alesi,Jordan,2001 Italian Grand Prix
9,+1 Lap,52,0,Olivier Panis,BAR,2001 Italian Grand Prix
10,+1 Lap,52,0,Giancarlo Fisichella,Benetton,2001 Italian Grand Prix
11,+1 Lap,52,0,Nick Heidfeld,Sauber,2001 Italian Grand Prix
12,+1 Lap,52,0,Tomáš Enge,Prost,2001 Italian Grand Prix
13,+2 Laps,51,0,Fernando Alonso,Minardi,2001 Italian Grand Prix
,Crankshaft,46,0,Enrique Bernoldi,Arrows,2001 Italian Grand Prix
,Spun off,44,0,Alex Yoong,Minardi,2001 Italian Grand Prix
,Gearbox,28,0,Heinz-Harald Frentzen,Prost,2001 Italian Grand Prix
,Fuel pressure,25,0,Jos Verstappen,Arrows,2001 Italian Grand Prix
,Gearbox,19,0,Mika Häkkinen,McLaren,2001 Italian Grand Prix
,Engine,14,0,Eddie Irvine,Jaguar,2001 Italian Grand Prix
,Engine,6,0,David Coulthard,McLaren,2001 Italian Grand Prix
,Engine,4,0,Jenson Button,Benetton,2001 Italian Grand Prix
,Collision,0,0,Jarno Trulli,Jordan,2001 Italian Grand Prix
1,1:32:42.840,73,10,Mika Häkkinen,McLaren,2001 United States Grand Prix
2,+11.046,73,6,Michael Schumacher,Ferrari,2001 United States Grand Prix
3,+12.043,73,4,David Coulthard,McLaren,2001 United States Grand Prix
4,+57.423,73,3,Jarno Trulli,Jordan,2001 United States Grand Prix
5,+1:12.434,73,2,Eddie Irvine,Jaguar,2001 United States Grand Prix
6,+1:12.996,73,1,Nick Heidfeld,Sauber,2001 United States Grand Prix
7,+1 Lap,72,0,Jean Alesi,Jordan,2001 United States Grand Prix
8,+1 Lap,72,0,Giancarlo Fisichella,Benetton,2001 United States Grand Prix
9,+1 Lap,72,0,Jenson Button,Benetton,2001 United States Grand Prix
10,+1 Lap,72,0,Heinz-Harald Frentzen,Prost,2001 United States Grand Prix
11,+1 Lap,72,0,Olivier Panis,BAR,2001 United States Grand Prix
12,+1 Lap,72,0,Pedro de la Rosa,Jaguar,2001 United States Grand Prix
13,+1 Lap,72,0,Enrique Bernoldi,Arrows,2001 United States Grand Prix
14,+1 Lap,72,0,Tomáš Enge,Prost,2001 United States Grand Prix
15,Engine,71,0,Rubens Barrichello,Ferrari,2001 United States Grand Prix
,Suspension,45,0,Jacques Villeneuve,BAR,2001 United States Grand Prix
,Engine,44,0,Jos Verstappen,Arrows,2001 United States Grand Prix
,Hydraulics,38,0,Juan Pablo Montoya,Williams,2001 United States Grand Prix
,Gearbox,38,0,Alex Yoong,Minardi,2001 United States Grand Prix
,Spun off,36,0,Ralf Schumacher,Williams,2001 United States Grand Prix
,Driveshaft,36,0,Fernando Alonso,Minardi,2001 United States Grand Prix
,Driveshaft,2,0,Kimi Räikkönen,Sauber,2001 United States Grand Prix
1,1:27:33.298,53,10,Michael Schumacher,Ferrari,2001 Japanese Grand Prix
2,+3.154,53,6,Juan Pablo Montoya,Williams,2001 Japanese Grand Prix
3,+23.262,53,4,David Coulthard,McLaren,2001 Japanese Grand Prix
